CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster_Income_Spending,Cluster_Age_Spending
1,Male,21,15,81,2,1
2,Female,20,16,6,4,2
3,Female,23,16,77,2,1
4,Female,31,17,40,4,3
5,Female,22,17,76,2,1
6,Female,35,18,6,4,2
7,Female,23,18,94,2,4
8,Male,64,19,3,4,2
9,Female,30,19,72,2,1
10,Male,67,19,14,4,2
11,Female,35,19,99,2,4
12,Female,58,20,15,4,2
13,Female,24,20,77,2,1
14,Male,37,20,13,4,2
15,Male,22,20,79,2,1
16,Female,35,21,35,4,3
17,Male,20,21,66,2,1
18,Male,52,23,29,4,2
19,Female,35,23,98,2,4
20,Male,35,24,35,4,3
21,Male,25,24,73,2,1
22,Female,46,25,5,4,2
23,Male,31,25,73,2,1
24,Female,54,28,14,4,2
25,Male,29,28,82,2,4
26,Female,45,28,32,4,2
27,Male,35,28,61,2,1
28,Female,40,29,31,4,2
29,Female,23,29,87,2,4
30,Male,60,30,4,4,2
31,Female,21,30,73,2,1
32,Male,53,33,4,4,2
33,Male,18,33,92,2,4
34,Female,49,33,14,4,2
35,Female,21,33,81,2,1
36,Female,42,34,17,4,2
37,Female,30,34,73,2,1
38,Female,36,37,26,4,2
39,Female,20,37,75,2,1
40,Female,65,38,35,4,0
41,Male,24,38,92,2,4
42,Male,48,39,36,4,0
43,Female,31,39,61,0,1
44,Female,49,39,28,4,2
45,Female,24,39,65,2,1
46,Female,50,40,55,0,0
47,Female,27,40,47,0,3
48,Female,29,40,42,0,3
49,Female,31,40,42,0,3
50,Female,49,42,52,0,0
51,Male,33,42,60,0,1
52,Female,31,43,54,0,3
53,Male,59,43,60,0,0
54,Female,50,43,45,0,0
55,Male,47,43,41,0,0
56,Female,51,44,50,0,0
57,Male,69,44,46,0,0
58,Female,27,46,51,0,3
59,Male,53,46,46,0,0
60,Male,70,46,56,0,0
61,Male,19,46,55,0,3
62,Female,67,47,52,0,0
63,Female,54,47,59,0,0
64,Male,63,48,51,0,0
65,Male,18,48,59,0,1
66,Female,43,48,50,0,0
67,Female,68,48,48,0,0
68,Male,19,48,59,0,1
69,Female,32,48,47,0,3
70,Male,70,49,55,0,0
71,Female,47,49,42,0,0
72,Female,60,50,49,0,0
73,Female,60,50,56,0,0
74,Male,59,54,47,0,0
75,Male,26,54,54,0,3
76,Female,45,54,53,0,0
77,Male,40,54,48,0,3
78,Female,23,54,52,0,3
79,Female,49,54,42,0,0
80,Male,57,54,51,0,0
81,Male,38,54,55,0,3
82,Male,67,54,41,0,0
83,Female,46,54,44,0,0
84,Female,21,54,57,0,3
85,Male,48,54,46,0,0
86,Female,55,57,58,0,0
87,Female,22,57,55,0,3
88,Female,34,58,60,0,1
89,Female,50,58,46,0,0
90,Female,68,59,55,0,0
91,Male,18,59,41,0,3
92,Male,48,60,49,0,0
93,Female,40,60,40,0,3
94,Female,32,60,42,0,3
95,Male,24,60,52,0,3
96,Female,47,60,47,0,0
97,Female,27,60,50,0,3
98,Male,48,61,42,0,0
99,Male,20,61,49,0,3
100,Female,23,62,41,0,3
101,Female,49,62,48,0,0
102,Male,67,62,59,0,0
103,Male,26,62,55,0,3
104,Male,49,62,56,0,0
105,Female,21,62,42,0,3
106,Female,66,63,50,0,0
107,Male,54,63,46,0,0
108,Male,68,63,43,0,0
109,Male,66,63,48,0,0
110,Male,65,63,52,0,0
111,Female,19,63,54,0,3
112,Female,38,64,42,0,3
113,Male,19,64,46,0,3
114,Female,18,65,48,0,3
115,Female,19,65,50,0,3
116,Female,63,65,43,0,0
117,Female,49,65,59,0,0
118,Female,51,67,43,0,0
119,Female,50,67,57,0,0
